eg_property_id,property_name,star_rating,property_type,city,country,description,amenities,has_pool,has_gym,has_spa,has_restaurant,has_bar,has_parking,has_wifi,has_concierge,has_room_service,has_beach_access,has_pet_friendly,check_in_time,check_out_time,cancellation_policy
1001,The Grand Metropolitan Hotel,5,Hotel,New York,USA,"An iconic 5-star landmark in Midtown Manhattan offering panoramic skyline views from every room. Guests enjoy a rooftop infinity pool with city vistas, a world-class spa featuring 12 treatment rooms, a fully equipped 24-hour fitness center, and two acclaimed restaurants including the award-winning Vesper Dining Room. The hotel's marble lobby bar serves handcrafted cocktails nightly. Each room features 400-thread-count linens, Nespresso machines, and Bulgari bath amenities.","Rooftop infinity pool,Full-service spa,24-hr fitness center,Vesper Restaurant,Skybar cocktail lounge,24-hr concierge,Room service,Valet parking,Free WiFi",true,true,true,true,true,true,true,true,true,false,false,15:00,12:00,Free cancellation up to 48 hours before check-in
1002,Miami Beach Seaside Resort,4,Resort,Miami,USA,"Nestled directly on Miami's iconic South Beach with private 200-metre beachfront, this 4-star resort offers an adults-only pool deck, beachside cabana service, and an on-site spa with ocean-view treatment rooms. The resort's seafood restaurant sources local catches daily. A poolside bar serves tropical cocktails from 10am. Self-parking and valet are both available on-site.","Private beach access,Adults pool deck,Beachside spa,Ocean Catch Restaurant,Tiki poolside bar,Valet parking,Free WiFi",true,false,true,true,true,true,true,false,false,true,false,16:00,11:00,Free cancellation up to 72 hours before check-in
1003,Rocky Mountain Lodge & Retreat,3,Lodge,Denver,USA,"A cosy mountain-inspired lodge minutes from downtown Denver and a gateway to Rocky Mountain National Park. The lodge features a fully equipped fitness room, heated outdoor terrace, a farm-to-table restaurant serving Colorado-inspired cuisine, and ample self-parking. Pets are welcome with prior notice. Free high-speed WiFi throughout.","Fitness room,Outdoor heated terrace,Summit Restaurant,Free self-parking,Free WiFi,Pet-friendly",false,true,false,true,false,true,true,false,false,false,true,15:00,11:00,Free cancellation up to 24 hours before check-in
1004,The Windy City Suites,4,Hotel,Chicago,USA,"All-suite hotel steps from Millennium Park and the Magnificent Mile. Each suite includes a full kitchen, separate living area, and floor-to-ceiling lake views. The hotel features a heated indoor lap pool, state-of-the-art gym, rooftop terrace bar, and the Lakeview Grille serving American cuisine for breakfast and dinner. Complimentary high-speed WiFi included.","Indoor lap pool,Fitness center,Lakeview Grille,Rooftop terrace bar,Free WiFi",true,true,false,true,true,false,true,false,false,false,false,15:00,12:00,Free cancellation up to 48 hours before check-in
1005,Bayview Hotel San Francisco,4,Hotel,San Francisco,USA,"A boutique 4-star hotel perched on Nob Hill with sweeping bay views. The Bayview features an intimate wine bar and lounge, a full-service concierge, and the acclaimed Bay Table restaurant known for its California tasting menu. Rooms feature locally crafted furniture and Sfumato bath products. Free WiFi and shoe-shine service included.","Bay Table Restaurant,Wine bar & lounge,24-hr concierge,Free WiFi,Shoe-shine service",false,false,false,true,true,false,true,true,false,false,false,15:00,12:00,Free cancellation up to 48 hours before check-in
1006,The Hollywood Grand,5,Hotel,Los Angeles,USA,"Hollywood's most glamorous address. This 5-star property features a sprawling pool terrace with private cabanas, a celebrity-favourite spa, a dedicated yoga studio, full fitness centre, and two restaurants — Flame (steakhouse) and Blossom (all-day dining). The poolside Starlight Bar is a West Hollywood institution. Valet parking and 24-hour concierge included.","Pool terrace with cabanas,Full-service spa,Yoga studio,Fitness center,Flame Steakhouse,Blossom Restaurant,Starlight Pool Bar,24-hr concierge,Valet parking,Free WiFi",true,true,true,true,true,true,true,true,false,false,false,15:00,12:00,Free cancellation up to 48 hours before check-in
1007,The Freedom Trail Inn,3,Inn,Boston,USA,"A charming 3-star inn in Beacon Hill, steps from the Freedom Trail and Boston Common. The inn offers complimentary continental breakfast daily, an intimate on-site cafe, free self-parking (rare in Boston), and free high-speed WiFi. All rooms feature hardwood floors and exposed-brick accents.","Continental breakfast,Cafe & lounge,Free self-parking,Free WiFi",false,false,false,true,false,true,true,false,false,false,false,14:00,11:00,Free cancellation up to 24 hours before check-in
1008,Neon Lights Resort & Casino,5,Resort,Las Vegas,USA,"A 5-star resort on the Las Vegas Strip featuring three outdoor pools including a lazy river, a luxurious 20-room spa, a 24-hour fitness center, six dining venues (from casual to Michelin-starred), five bars including the iconic Neon Rooftop Bar, and a full-service concierge. Valet parking and room service available around the clock.","3 outdoor pools with lazy river,20-room luxury spa,24-hr fitness center,6 dining venues,5 bars including rooftop,24-hr concierge,24-hr room service,Valet parking,Free WiFi",true,true,true,true,true,true,true,true,true,false,false,15:00,11:00,Non-refundable rate available; free cancellation rate up to 72 hours before check-in
1009,Pike Street Retreat,3,Hotel,Seattle,USA,"A modern boutique hotel one block from Pike Place Market. The hotel features a well-equipped gym, free self-parking, a popular farm-to-table breakfast restaurant, and free WiFi. Dog-friendly rooms available on request. Close to Seattle's waterfront and top attractions.","Gym,Farm-to-table breakfast restaurant,Free self-parking,Free WiFi,Dog-friendly rooms",false,true,false,true,false,true,true,false,false,false,true,15:00,11:00,Free cancellation up to 48 hours before check-in
1010,The 6th Street Hotel,3,Hotel,Austin,USA,"A lively boutique hotel in the heart of Austin's entertainment district on 6th Street. Features a rooftop bar with live music, a small but functional gym, pet-friendly rooms, and free high-speed WiFi. Walking distance to Rainey Street, live music venues, and the Texas State Capitol.","Rooftop bar with live music,Gym,Pet-friendly rooms,Free WiFi",false,true,false,false,true,false,true,false,false,false,true,15:00,11:00,Free cancellation up to 24 hours before check-in
